PMCID,chunk_id,chunk_text
PMC10289750,PMC10289750_chunk_11,"usion.
2.2. Independent variables
Demographic characteristics including age, sex, hypertension, diabetes, dyslipidemia, and household income were analyzed. Among hospital-admitted subjects, ischemic (I63) and hemorrhagic strokes (I60, I61.0–I61.3) and MI (I21–I23) were defined according to International Classification of Diseases-10 codes. Regarding stroke, we checked if the subjects underwent computer tomography or magnetic resonance images within 7 days before and after stroke. Details for variables were obtained from health examination data and medical records; total cholesterol level (mmol/L), systolic and diastolic blood pressure (mm Hg), and fasting glucose level (mmol/L) were measured after overnight fasting at regular medical checkup programs. Hypertension, diabetes mellitus, and dyslipidemia were identified by health examination data (systolic blood pressure ≥ 140 mm Hg or diastolic blood pressure ≥ 90 mm Hg for hypertension, fasting glucose ≥ 7.0 mmol/L for diabetes mellitus,"
PMC10289750,PMC10289750_chunk_12,"yslipidemia were identified by health examination data (systolic blood pressure ≥ 140 mm Hg or diastolic blood pressure ≥ 90 mm Hg for hypertension, fasting glucose ≥ 7.0 mmol/L for diabetes mellitus, and total cholesterol > 6.2 mmol/L for dyslipidemia) or specific medications for those diseases. We categorized 3 individual economic status levels according to annual income. The grades of neurologic disabilities are examined by medical specialists of neurology, neurosurgery, or rehabilitation medicine after 6 months of events. The National Pension Service reviews grades for disabilities. Because the acquisition time of disability grade was expressed as year unit, we extrapolated the time to the end of the year. The minimum neurologic disability grade is equivalent to a modified Barthel index of 96, and a severe neurologic disability grade is determined from an modified Barthel index of 53. [ 21 ]
2.3. Statistical analysis
Baseline categorical variables were expressed as numbers and perc"
PMC10289750,PMC10289750_chunk_13,"x of 96, and a severe neurologic disability grade is determined from an modified Barthel index of 53. [ 21 ]
2.3. Statistical analysis
Baseline categorical variables were expressed as numbers and percentages and compared using the chi-square test. We estimated favorable or unfavorable outcomes for disability and mortality after stroke and MI by applying a Cox proportional hazards regression model. The statistical packages SAS System for Windows, version 9.2 (SAS Institute, Cary, NC) was used to perform the analyses in this study. A significance level of 0.05 was selected. The graphs for the hazards ratio were drawn using the “moonBook” packages of R (version 4.0.3).
3. Results
Table 1 presents the characteristics of the study population for the 2 cohorts: the aspirin group and the control group. We examined 8770 patients who received aspirin therapy and 17,540 matched comparison subjects. There was no significant difference in age, sex, the prevalence of hypertension, diabetes, dyslipi"
PMC10289750,PMC10289750_chunk_14,"group. We examined 8770 patients who received aspirin therapy and 17,540 matched comparison subjects. There was no significant difference in age, sex, the prevalence of hypertension, diabetes, dyslipidemia, or income because these variables were used for propensity score matching.
Baseline characteristics.
After 2 years of ischemic stroke, the neurologic disability grades did not differ between the 2 groups when all neurologic disability grades (hazard ratio [HR], 0.97; 95% confidence interval [CI], 0.89–1.06; P = .47) and severe neurologic disability (HR, 0.99; 95% CI, 0.88–1.11; P = .83) were included (Tables 2 and 3 ; Figure S1, Supplemental Digital Content, http://links.lww.com/MD/J176 ). In hemorrhagic stroke, there was no difference when all neurologic disabilities were included (HR, 1.12; 95% CI, 0.97–1.30; P = .12). However, when only severe neurologic disabilities were assessed, more disabilities were registered in the aspirin group (HR, 1.21; 95% CI, 1.02–1.42; P = .02). When"
PMC10289750,PMC10289750_chunk_15," 1.12; 95% CI, 0.97–1.30; P = .12). However, when only severe neurologic disabilities were assessed, more disabilities were registered in the aspirin group (HR, 1.21; 95% CI, 1.02–1.42; P = .02). When cerebral infarction and cerebral hemorrhage were pooled, the registration of neurologic disability did not show any difference when including all disabilities (HR, 1.0; 95% CI, 0.92–1.07; P = .92) and severe neurologic disabilities (HR, 1.04; 95% CI, 0.95–1.15; P = .40).
Cox proportional hazards models for neurologic disability grades 2 years after events.
CI = confidence, HR = hazard ratio, SE = standard error interval.
Cox proportional hazards models for severe neurologic disability grades 2 years after events.
CI = confidence interval, HR = hazard ratio, SE = standard error.
For 90-day mortality which is affected directly by recently preceding cardiovascular events, ischemic stroke (HR, 1.40; 95% CI, 1.22–1.61; P < .001), hemorrhagic stroke (HR, 1.52; 95% CI, 1.30–1.78; P < .001), and "
PMC10289750,PMC10289750_chunk_16,"tality which is affected directly by recently preceding cardiovascular events, ischemic stroke (HR, 1.40; 95% CI, 1.22–1.61; P < .001), hemorrhagic stroke (HR, 1.52; 95% CI, 1.30–1.78; P < .001), and myocardial infarction (HR, 1.20; 95% CI, 1.06–1.35; P = .003) had higher risks of death in the aspirin group (Table 4 ). The risk of 90-day mortality after hemorrhagic stroke was highly affected by age: if compared with the risks of the age of fewer than 60 years, 60s (HR 2.21, 95% CI 1.50–3.25; P < .001), 70s (HR 3.63, 95% CI 2.48–5.30; P < .001), those in their 80s (HR 6.69, 95% CI 4.54–9.65; P < .001), and those in their 90s or older (11.28, 95% CI 6.46–19.70; P < .001) significantly increased the risk of the 90-day death (Fig. 2 ). The old age was also a strong risk factor for 90-day mortality after ischemic stroke and MI (data not shown). The 90-day mortality risk was higher in women than in men (HR 1.18, 95% CI 1.09–1.27; P < .001). For long-term mortality, only hemorrhagic stroke (H"
PMC10289750,PMC10289750_chunk_17,"lity after ischemic stroke and MI (data not shown). The 90-day mortality risk was higher in women than in men (HR 1.18, 95% CI 1.09–1.27; P < .001). For long-term mortality, only hemorrhagic stroke (HR, 1.17; 95% CI, 1.08–1.27; P = .0002) had a higher risk of death in the aspirin group (Table 5 ). If all 3 cardiovascular events are pooled, the 90-day (HR, 1.33; 95% CI, 1.23–1.44; P < .001) and long-term (HR, 1.06; 95% CI, 1.03–1.10; P =< .001) mortalities are higher in the aspirin group (Tables 4 and 5 ; Figure S2, Supplemental Digital Content, http://links.lww.com/MD/J177 ).
Cox proportional hazards models for 90-day mortality.
CI = confidence interval, HR = hazard ratio, SE = standard error.
Cox proportional hazards models for long-term mortality.
CI = confidence interval, HR = hazard ratio, SE = standard error.
The hazard ratios of 90-day mortality after hemorrhagic stroke according to age groups and genders in the aspirin group. We adjusted the models for income levels and prevalen"
PMC10289750,PMC10289750_chunk_18,"tio, SE = standard error.
The hazard ratios of 90-day mortality after hemorrhagic stroke according to age groups and genders in the aspirin group. We adjusted the models for income levels and prevalences of hypertension, dyslipidemia, and hypertension.
4. Discussion
We examined 8770 patients with prior aspirin therapy and matched comparison subjects from a nation-wide cohort database of 3,080,639 Korean populations who were older than 55. By pooling hemorrhagic/ischemic stroke and MI, we could estimate the overall effects of aspirin at the population level. Our results demonstrate that prior aspirin therapy significantly increased severe neurologic disability in hemorrhagic stroke and 90-day and long-term mortality rates in all 3 cardiovascular events. For the 90-day mortality of hemorrhagic stroke, which can be regarded as a direct consequence of hemorrhagic stroke, the old age is the most critical factor.
In this retrospective large-scale cohort study using NHIS data, aspirin therapy"
PMC10289750,PMC10289750_chunk_19,"ic stroke, which can be regarded as a direct consequence of hemorrhagic stroke, the old age is the most critical factor.
In this retrospective large-scale cohort study using NHIS data, aspirin therapy had no benefit in the prognosis of cardiovascular events. Antiplatelet drugs showed a beneficial effect on secondary prevention for cardiovascular events but had complications, including bleeding risk. [ 1 – 4 ] Thus, antiplatelets should be prescribed considering the risk and benefit for each individual. A meta-analysis by Antithrombotic Trialists’ Collaboration presented that the primary prevention effect of aspirin on ischemic stroke was insignificant. [ 1 ] Another meta-analysis of randomized trials in 2019 showed that aspirin did not significantly reduce ischemic stroke occurrence in patients without previous cardiovascular event, and aspirin also did not show any beneficial effect on the primary prevention of stroke in patients with diabetes mellitus on previous studies. [ 7 , 10 , "
PMC10289750,PMC10289750_chunk_20,"ients without previous cardiovascular event, and aspirin also did not show any beneficial effect on the primary prevention of stroke in patients with diabetes mellitus on previous studies. [ 7 , 10 , 22 , 23 ] On the other hand, there has been a report of the beneficial primary prevention effect for stroke in women. [ 9 ] Previous studies of the primary prevention effect for ischemic stroke showed conflicting results, and the effects might differ according to subjects’ characteristics such as sex and comorbidities and various study design. It has also been suggested that there might be an ethnic difference in the effect of antiplatelet agents, considering habitual status, including eating, and higher intracerebral bleeding risk in Asian populations. Recently conducted studies in Japan showed no beneficial effect of aspirin for the primary prevention of stroke and death in elderly patients with atherosclerotic risk factors. [ 5 , 24 ]
Our study has several limitations. We used NHIS coho"
PMC10289750,PMC10289750_chunk_21,"ed no beneficial effect of aspirin for the primary prevention of stroke and death in elderly patients with atherosclerotic risk factors. [ 5 , 24 ]
Our study has several limitations. We used NHIS cohort data with a retrospective study design. Although we matched 2 groups regarding the medical status and socioeconomic factors, there might be more confounding factors. For example, we do not divide stroke type in our analysis, and there might be a difference in the primary prevention effect according to stroke subtype. [ 25 ] In addition, based on our results, although the aspirin group showed an increased risk for mortality, initial stroke severity could be higher compared with the control group considering the mortality rate.
In conclusion, prior aspirin use was no benefit for neurologic disability and short/long-term mortality after cardiovascular events. In 90-day mortality after cardiovascular events, the old age is a critical factor. So far, no benefit has been demonstrated for aspi"
PMC10289750,PMC10289750_chunk_22,"sability and short/long-term mortality after cardiovascular events. In 90-day mortality after cardiovascular events, the old age is a critical factor. So far, no benefit has been demonstrated for aspirin over placebo in the elderly over 70 years of age, and aspirin increased the risk of bleeding, according to recent randomized clinical trials. [ 15 – 17 ] Since bleeding is much fatal in the elderly, aspirin prescription for primary prevention should be more careful in the elderly.
Author contributions
Conceptualization: Jong Hun Kim, Seo Yeon Yoon, Hyoung Seop Kim.
Data curation: Jong Hun Kim, Hyun Sun Lim, Min Jin Kang.
Formal analysis: Jong Hun Kim, Dougho Park, Hyun Sun Lim, Min Jin Kang, Jun Hong Lee, Seo Yeon Yoon, Hyoung Seop Kim.
Funding acquisition: Jong Hun Kim.
Investigation: Jong Hun Kim.
Methodology: Jong Hun Kim.
Project administration: Jong Hun Kim.
Resources: Jong Hun Kim.
Software: Jong Hun Kim.
Supervision: Jong Hun Kim, Seo Yeon Yoon, Hyoung Seop Kim.
Validation: Jong"
PMC10289750,PMC10289750_chunk_23,"g Hun Kim.
Methodology: Jong Hun Kim.
Project administration: Jong Hun Kim.
Resources: Jong Hun Kim.
Software: Jong Hun Kim.
Supervision: Jong Hun Kim, Seo Yeon Yoon, Hyoung Seop Kim.
Validation: Jong Hun Kim.
Visualization: Jong Hun Kim.
Writing – original draft: Jong Hun Kim, Seo Yeon Yoon.
Writing – review & editing: Jong Hun Kim, Dougho Park, Hyun Sun Lim, Min Jin Kang, Jun Hong Lee, Seo Yeon Yoon, Hyoung Seop Kim.
Supplementary Material"
PMC10724809,PMC10724809_chunk_1,"Introduction
The trend toward universal health coverage in Mongolia seems to have stagnated. Service coverage related to cardiovascular health (CVH) risk factors such as hypertension, diabetes, and smoking is also below the global average; there was no improvement between 2000 and 2019 [ 1 ]. Of the 4 noncommunicable diseases (NCDs) most common among Mongolian adults aged 30-70 years, cardiovascular disease (CVD) accounted for the largest proportion (17.3%) of deaths [ 2 ]. In a cross-sectional study that examined a nationally representative sample of 70,380 people aged 35-75 years in Inner Mongolia, 25% of the study participants were at high-risk for CVD, with more than 10% at risk of developing CVD after 10 years [ 3 ]. However, Mongolian adults’ low rates of hypertension control treatment, along with high rates of smoking, sodium intake, and obesity, indicate that CVH is not adequately managed in Mongolian adults [ 4 - 7 ].
There is substantial evidence for the effectiveness of indi"
PMC10724809,PMC10724809_chunk_2,"nt, along with high rates of smoking, sodium intake, and obesity, indicate that CVH is not adequately managed in Mongolian adults [ 4 - 7 ].
There is substantial evidence for the effectiveness of individual lifestyle changes to reduce CVH risk [ 8 - 10 ]; nevertheless, it is necessary to examine situations such as the structural social determinants of health (SDH) in Mongolia, where essential service coverage is not guaranteed. SDH, such as education and health insurance coverage, can be more important than lifestyle choices in influencing population health and health equity because of their connection to CVD pathogenesis. Chronic psychosocial stress can be induced among individuals who are susceptible to SDH, and this stress can lead to chronic inflammation by activating the sympathetic nervous system linked to altered stress hormone. For example, glucocorticoid receptor resistance due to chronic activation of the sympathetic nervous system blunts the anti-inflammatory response; it co"
PMC10724809,PMC10724809_chunk_3,"ervous system linked to altered stress hormone. For example, glucocorticoid receptor resistance due to chronic activation of the sympathetic nervous system blunts the anti-inflammatory response; it could contribute to enabling CVD development and progression. [ 11 ]. Further, the Denmark study showed that a low education level was independently associated with a higher risk of CVD among 1.6 million Danish employees [ 12 ]. In Colombia, people with lower education levels have a higher risk of dying prematurely from CVD, and these education inequalities affect female individuals more than male individuals [ 13 ]. A prospective cohort study that examined 390,881 Chinese adults aged 18-64 years with a mean follow-up of 10.4 years revealed that having private health insurance coverage was associated with a 21% lower risk of CVD mortality compared to being uninsured [ 14 ].
However, there are insufficient studies showing the influence of SDH on CVH among Mongolian adults. Thus, the identific"
PMC10724809,PMC10724809_chunk_4,"iated with a 21% lower risk of CVD mortality compared to being uninsured [ 14 ].
However, there are insufficient studies showing the influence of SDH on CVH among Mongolian adults. Thus, the identification of SDH should be the foundation for developing strategies that promote CVH and reduce long-term health inequality [ 15 ]. Research on this topic can provide critical information that can be used for evidence-based planning and decision-making based on priorities regarding CVH equity. As prevalence of CVD risk differed according to sex and age among Mongolian adults [ 3 , 4 ], the population group characteristics should be considered when confirming the influence of SDH on CVH. Thus, this study aimed to explore the sex and age differences in the independent associations between SDH (educational level and health insurance) and CVH among Mongolian adults.
Methods
Data were obtained from the 2019 Mongolia STEPwise approach to noncommunicable disease risk-factor surveillance (STEPS). The "
PMC10724809,PMC10724809_chunk_5,"tional level and health insurance) and CVH among Mongolian adults.
Methods
Data were obtained from the 2019 Mongolia STEPwise approach to noncommunicable disease risk-factor surveillance (STEPS). The World Health Organization (WHO) initiated STEPS in various countries, recognizing a need for standardized worldwide risk-factor data on NCD risk factors for surveillance systems [ 16 , 17 ]. STEPS was conducted in Mongolia to assess the impact and effect of the integrated national program on “NCD Prevention and Control” [ 5 ]. STEPS is a repeated household survey that is population based and cross-sectional. It uses multistage cluster sampling to extract and investigate a nationally representative sample [ 18 ]. The fourth Mongolia STEPS survey was carried out using 377 sampling clusters selected from 21 provinces and 9 districts of Ulaanbaatar in 2019 [ 5 ]. Of the 6654 people who participated in the 2019 Mongolia STEPS, participants aged younger than 18 years (n=173, 2.6%) and those who "
PMC10724809,PMC10724809_chunk_6,"ted from 21 provinces and 9 districts of Ulaanbaatar in 2019 [ 5 ]. Of the 6654 people who participated in the 2019 Mongolia STEPS, participants aged younger than 18 years (n=173, 2.6%) and those who had missing data on key variables (n=790, 11.9%) were excluded and 5691 (85.5%) participants were finally included in this secondary data analysis.
All participants provided written informed consent prior to participating in the 2019 Mongolia STEPS. This study was granted an exemption by the institutional review board (4-2021-1341) of Severance Hospital at Yonsei University College of Medicine, Republic of Korea, which allows secondary analyses without additional consent.
Information about education level, possessing health insurance, and average household earnings in the past year were assessed through face-to-face interviews [ 16 ]. Educational attainment was categorized into 2 groups: <12 years of education and ≥12 years of education (reference group). Current health insurance was asses"
PMC10724809,PMC10724809_chunk_7,"ed through face-to-face interviews [ 16 ]. Educational attainment was categorized into 2 groups: <12 years of education and ≥12 years of education (reference group). Current health insurance was assessed using the question “Do you currently have any kind of health insurance or health care coverage?” [ 16 ]. The average monthly household income was calculated by dividing the average household income in the previous year by 12. Equivalized household income was defined as the average monthly household income divided by the square root of the number of household members [ 19 ]. The study participants were divided into 4 groups according to the quartiles of equivalized household income.
We used the modified Life’s Simple 7 by the American Heart Association to measure CVH. It addresses 4 health behaviors, including BMI, smoking, physical activity, and diet, and 3 health risk factors, including blood pressure, fasting glucose levels, and total cholesterol [ 20 ]. A cutoff of 23 kg/m 2 for BMI"
PMC10724809,PMC10724809_chunk_8,"behaviors, including BMI, smoking, physical activity, and diet, and 3 health risk factors, including blood pressure, fasting glucose levels, and total cholesterol [ 20 ]. A cutoff of 23 kg/m 2 for BMI, which has been validated for the Asian population, was used in this study [ 21 ]. Smoking, physical activity, and diet were assessed through face-to-face interviews using standardized questionnaires [ 16 ]. Salt consumption for diet was used instead of the American Heart Association’s guidelines [ 22 ]. Blood pressure was measured 3 times for 3-minute intervals. Each measurement was taken on the left arm, with the participants in a seated posture [ 18 ]. The mean of the last 2 measurements was used in the analysis [ 18 ]. Overnight fasting blood samples were collected at a local clinic or health center [ 18 ]. CVH metrics were scored as poor (0 points), intermediate (1 point), and ideal (2 points). The total CVH scores were calculated as the sum of the scores for each component for a pos"
PMC10724809,PMC10724809_chunk_9,"alth center [ 18 ]. CVH metrics were scored as poor (0 points), intermediate (1 point), and ideal (2 points). The total CVH scores were calculated as the sum of the scores for each component for a possible range of 0-14 (Table S1 in Multimedia Appendix 1 ). Scores of 0-7 were considered as poor, 8-11 as intermediate, and 12-14 as ideal for CVH [ 23 ].
We adjusted for sex, age (18-39, 40-59, and ≥60 years), work status (employee, self-employed, or others), area (rural or urban), history of myocardial infarction or stroke (yes or no), use of aspirin (yes or no), and use of statin (yes or no). The history of myocardial infarction or stroke was investigated using the question “Have you ever had a heart attack or chest pain from heart disease (angina) or a stroke (cerebrovascular accident or incident)?” The use of aspirin or statin was assessed using the questions “Are you currently taking aspirin regularly to prevent or treat heart disease?” and “Are you currently taking statins (Lovastati"
PMC10724809,PMC10724809_chunk_10,"cident)?” The use of aspirin or statin was assessed using the questions “Are you currently taking aspirin regularly to prevent or treat heart disease?” and “Are you currently taking statins (Lovastatin/Simvastatin/Atorvastatin or any other statin) regularly to prevent or treat heart disease?” respectively. The covariate data were collected by self-reporting.
Descriptive values were calculated for the total participant group as well as the male and female groups, represented as a weighted mean (95% CI) and number (weighted proportion). The differences in variables according to CVH categories in male and female participants were calculated using ANOVA for continuous variables and the chi-square test for categorical variables. Independent associations between SDH (education level and health insurance) and CVH were assessed through multinomial logistic regression analyses between the sexes after adjusting for covariates. Subgroup analyses regarding associations between SDH and CVH accordin"
PMC10724809,PMC10724809_chunk_11,"nsurance) and CVH were assessed through multinomial logistic regression analyses between the sexes after adjusting for covariates. Subgroup analyses regarding associations between SDH and CVH according to monthly equivalized household income were conducted among the total participants. This subgroup analysis according to monthly equivalized household income was also performed by sex and age to identify different sex and age associations between SDH and CVH by household income. The period of public education in Mongolia gradually changed from 10 years in 2004 to 12 years in 2013; students who graduated in 2013 were the first to have received 12 years of public education. Therefore, sensitivity analyses were conducted by defining low education level as less than 11 years of education and examining the association between education level and CVH according to monthly equivalized household income. Adjusted odds ratios (ORs) and 95% CIs were calculated using the PROC SURVEYLOGISTIC procedure"
PMC10724809,PMC10724809_chunk_12,"mining the association between education level and CVH according to monthly equivalized household income. Adjusted odds ratios (ORs) and 95% CIs were calculated using the PROC SURVEYLOGISTIC procedures to apply population weights, and all statistical tests were performed using SAS (version 9.4; SAS Institute Inc).
Data and Study Participants
Data were obtained from the 2019 Mongolia STEPwise approach to noncommunicable disease risk-factor surveillance (STEPS). The World Health Organization (WHO) initiated STEPS in various countries, recognizing a need for standardized worldwide risk-factor data on NCD risk factors for surveillance systems [ 16 , 17 ]. STEPS was conducted in Mongolia to assess the impact and effect of the integrated national program on “NCD Prevention and Control” [ 5 ]. STEPS is a repeated household survey that is population based and cross-sectional. It uses multistage cluster sampling to extract and investigate a nationally representative sample [ 18 ]. The fourth Mo"
PMC10724809,PMC10724809_chunk_13,"EPS is a repeated household survey that is population based and cross-sectional. It uses multistage cluster sampling to extract and investigate a nationally representative sample [ 18 ]. The fourth Mongolia STEPS survey was carried out using 377 sampling clusters selected from 21 provinces and 9 districts of Ulaanbaatar in 2019 [ 5 ]. Of the 6654 people who participated in the 2019 Mongolia STEPS, participants aged younger than 18 years (n=173, 2.6%) and those who had missing data on key variables (n=790, 11.9%) were excluded and 5691 (85.5%) participants were finally included in this secondary data analysis.
Ethical Considerations
All participants provided written informed consent prior to participating in the 2019 Mongolia STEPS. This study was granted an exemption by the institutional review board (4-2021-1341) of Severance Hospital at Yonsei University College of Medicine, Republic of Korea, which allows secondary analyses without additional consent.
SDH Factor
Information about ed"
PMC10724809,PMC10724809_chunk_14,"eview board (4-2021-1341) of Severance Hospital at Yonsei University College of Medicine, Republic of Korea, which allows secondary analyses without additional consent.
SDH Factor
Information about education level, possessing health insurance, and average household earnings in the past year were assessed through face-to-face interviews [ 16 ]. Educational attainment was categorized into 2 groups: <12 years of education and ≥12 years of education (reference group). Current health insurance was assessed using the question “Do you currently have any kind of health insurance or health care coverage?” [ 16 ]. The average monthly household income was calculated by dividing the average household income in the previous year by 12. Equivalized household income was defined as the average monthly household income divided by the square root of the number of household members [ 19 ]. The study participants were divided into 4 groups according to the quartiles of equivalized household income.
CVH Fa"
