PMCID,PMID,Title,Abstract,Journal,PubDate,Source,Authors,School/Company,DOI,Impact Factor
PMC11334244,39161215,Development and Validation of a Nomogram Model for Predicting in-Hospital Mortality in non-Diabetic Patients with non-ST-Segment Elevation Acute Myocardial Infarction.,"Non-ST-segment elevation acute myocardial infarction (NSTEMI) is a life-threatening clinical emergency with a poor prognosis. However, there are no individualized nomogram models to identify patients at high risk of NSTEMI who may undergo death. The aim of this study was to develop a nomogram for in-hospital mortality in patients with NSTEMI to facilitate rapid risk stratification of patients. A total of 774 non-diabetic patients with NSTEMI were included in this study. Least Absolute Shrinkage and Selection Operator regression was used to initially screen potential predictors. Univariate and multivariate logistic regression (backward stepwise selection) analyses were performed to identify the optimal predictors for the prediction model. The corresponding nomogram was constructed based on those predictors. The receiver operating characteristic curve, GiViTI calibration plot, and decision curve analysis (DCA) were used to evaluate the performance of the nomogram. The nomogram model consisting of six predictors: age (OR = 1.10; 95% CI: 1.05-1.15), blood urea nitrogen (OR = 1.06; 95% CI: 1.00-1.12), albumin (OR = 0.93; 95% CI: 0.87-1.00), triglyceride (OR = 1.41; 95% CI: 1.09-2.00), D-dimer (OR = 1.39; 95% CI: 1.06-1.80), and aspirin (OR = 0.16; 95% CI: 0.06-0.42). The nomogram had good discrimination (area under the curve (AUC) = 0.89, 95% CI: 0.84-0.94), calibration, and clinical usefulness. In this study, we developed a nomogram model to predict in-hospital mortality in patients with NSTEMI based on common clinical indicators. The proposed nomogram has good performance, allowing rapid risk stratification of patients with NSTEMI.",Clinical and applied thrombosis/hemostasis : official journal of the International Academy of Clinical and Applied Thrombosis/Hemostasis,2024,Clin Appl Thromb Hemost,Li Panpan; Yao Wensen; Wu Jingjing; Gao Yating; Zhang Xueyuan; Hu Wei,"Department of Cardiovascular Medicine, Xiaogan Hospital Affiliated to Wuhan University of Science and Technology, Xiaogan, Hubei Province, China.; Department of Geriatrics and Special Medical Treatment, The First Hospital of Jilin University, Changchun, China.; Department of Cardiovascular Medicine, Xiaogan Hospital Affiliated to Wuhan University of Science and Technology, Xiaogan, Hubei Province, China.; Department of Geriatrics and Special Medical Treatment, The First Hospital of Jilin University, Changchun, China.; Department of Geriatrics and Special Medical Treatment, The First Hospital of Jilin University, Changchun, China.; Department of Cardiovascular Medicine, Xiaogan Hospital Affiliated to Wuhan University of Science and Technology, Xiaogan, Hubei Province, China.",10.1177/10760296241276524,
PMC11352401,39195314,Monoclonal Gammopathy of Undetermined Significance and Associated Cardiovascular Outcomes in a Hospital Setting-A Fresh Perspective.,"There is a paucity of data on the cardiovascular implications of monoclonal gammopathy of undetermined significance, especially among hospitalized patients. Our study aimed to investigate the association between MGUS and cardiovascular outcomes in a hospital setting using the National Inpatient Sample database. MGUS patients were sampled using ICD-10 codes. The patients were stratified into two cohorts based on the presence or absence of MGUS. Comorbidities and cardiovascular outcomes were collected using ICD 10 DM codes. CV outcomes were evaluated before and after 1:1 matching for age, gender, and race. Furthermore, a sensitivity analysis was performed on the matched population, which excluded patients with diabetes mellitus, prior myocardial infarction, chronic kidney disease (stages 3-5), dialysis, hypertension, obesity, metabolic syndrome, cancer, antiplatelets, and oral anticoagulant use and was adjusted for smoking, dyslipidemia, and aspirin use to evaluate the cardiovascular outcomes. MGUS patients had more heart failure, atrial fibrillation, venous thromboembolism, aortic aneurysm, aortic stenosis, aortic regurgitation, mitral stenosis, mitral regurgitation, conduction disorder, cor pulmonale, peripheral vascular disease, and acute myocardial infarction. After matching, MGUS was associated with heart failure, atrial fibrillation, venous thromboembolism, aortic stenosis, mitral regurgitation, conduction disorder, cor pulmonale, and peripheral vascular disease. MGUS was linked to a wide spectrum of cardiovascular diseases in an inpatient setting. Further studies are needed to formulate appropriate recommendations for the screening and management of cardiovascular complications in individuals with MGUS.","Current oncology (Toronto, Ont.)",2024,Curr Oncol,Mustafa Ahmad; Wei Chapman; Araji Ghada; Niazi Muhammad Rafay Khan; Grovu Radu; Weinberg Mitchell; Lafferty James,"Department of Cardiology, Northwell Health/Staten Island University Hospital, Staten Island, New York, NY 10305, USA.; Department of Internal Medicine, Northwell Health/Staten Island University Hospital, Staten Island, New York, NY 10305, USA.; Department of Internal Medicine, Northwell Health/Staten Island University Hospital, Staten Island, New York, NY 10305, USA.; Department of Hematology and Oncology, Northwell Health/Staten Island University Hospital, Staten Island, New York, NY 10305, USA.; Department of Internal Medicine, Northwell Health/Staten Island University Hospital, Staten Island, New York, NY 10305, USA.; Department of Cardiology, Northwell Health/Staten Island University Hospital, Staten Island, New York, NY 10305, USA.; Department of Cardiology, Northwell Health/Staten Island University Hospital, Staten Island, New York, NY 10305, USA.",10.3390/curroncol31080331,
PMC11589165,39587825,"Rationale and Design of Dual Antiplatelet Therapy in Patients with Coronary Multi-Vessel Disease (DAPT-MVD): A Multicenter, Randomized, Controlled Trial.",The optimal duration of dual antiplatelet therapy (DAPT) for patients with coronary multi-vessel disease (MVD) who have received drug-eluting stents (DES) remains unclear.,Clinical cardiology,2024,Clin Cardiol,Tian Jinwei; Wang Zhuozhong; Wang Yan; Wang Fan; Wang Yini; Zhao Peng; Hou Xinyu; Peng Xiang; Tian Maoyi; Wang Duolao; Yu Bo,"Department of Cardiology, The Second Affiliated Hospital of Harbin Medical University, Harbin, China.; Department of Cardiology, The Second Affiliated Hospital of Harbin Medical University, Harbin, China.; Department of Cardiology, The Second Affiliated Hospital of Harbin Medical University, Harbin, China.; Department of Cardiology, The Second Affiliated Hospital of Harbin Medical University, Harbin, China.; Department of Cardiology, The Second Affiliated Hospital of Harbin Medical University, Harbin, China.; Department of Cardiology, The Second Affiliated Hospital of Harbin Medical University, Harbin, China.; Department of Cardiology, The Second Affiliated Hospital of Harbin Medical University, Harbin, China.; Department of Cardiology, The Second Affiliated Hospital of Harbin Medical University, Harbin, China.; School of Public Health, Harbin Medical University, Harbin, China.; Global Health Trials Unit, Liverpool School of Tropical Medicine, Liverpool, UK.; Department of Cardiology, The Second Affiliated Hospital of Harbin Medical University, Harbin, China.",10.1002/clc.70049,
PMC11607373,39368027,National Trends in Aspirin Use and Expenditures in the United States: Analysis of The Medical Expenditure Panel Survey 2000-2021.,"Since its invention in 1897, aspirin (ASA) has been the most widely used and cost-effective antiplatelet agent to prevent and treat atherosclerotic cardiovascular disease (ASCVD). We aimed to study the trends and expenditures associated with ASA use in the USA.",Cardiology and therapy,2024,Cardiol Ther,Thyagaturu Harshith; Ali Shafaqat; Seetharam Karthik; Upreti Prakash; Doddi Akshith; Atti Lalitsiri; Roma Nicholas; Lacoste Jordan L; Angirekula Aakash; Salami Joseph; Nasir Khurram; Balla Sudarshan,"Department of Cardiology, West Virginia University School of Medicine, 1 Medical Center Dr, Morgantown, WV, 26506, USA. harshith.thyagaturu@hsc.wvu.edu.; Department of Internal Medicine, Louisiana State University, Shreveport, LA, USA.; Department of Internal Medicine, Wyckoff Heights Medical Center, Brooklyn, NY, USA.; Sands-Constellation Heart Institute, Rochester Regional Health, Rochester, NY, USA.; Department of Cardiology, West Virginia University School of Medicine, 1 Medical Center Dr, Morgantown, WV, 26506, USA.; Department of Internal Medicine, Sparrow Hospital-Michigan State University, Lansing, MI, USA.; Department of Internal Medicine, St Luke's Hospitals, Bethlehem, PA, USA.; Department of Pharmacy, WVU Medicine, Morgantown, WV, USA.; Undergraduate Researcher, University of Texas at Austin, Austin, TX, USA.; Department of Internal Medicine, Charles E. Schmidt College of Medicine, Florida Atlantic University, Boca Raton, FL, USA.; Department of Cardiology, Houston Methodist Hospital, Houston, TX, USA.; Department of Cardiology, West Virginia University School of Medicine, 1 Medical Center Dr, Morgantown, WV, 26506, USA.",10.1007/s40119-024-00385-2,
PMC11634293,39607170,Fixed-Dose Antiplatelet Dual Combination in Patients with Coronary Artery Disease in Turkish Population: DAPT-TR.,Dual antiplatelet therapy (DAPT) is the treatment of choice for patients with acute and chronic coronary syndromes as it reduces mortality and prevents recurrent thrombotic complications. The assessment of both ischaemic burden and bleeding risk is crucial in deciding which DAPT to choose and how long it should be continued.,Arquivos brasileiros de cardiologia,2024,Arq Bras Cardiol,Öz Ahmet; Toprak Kenan; Aydin Ertan; Saraç İbrahim; Doğduş Mustafa; Opan Selçuk; Yenerçağ Mustafa; Tascanov Mustafa Begenc; Kümet Ömer; Karaağaç Miraç; Özmen Murat; Murat Bektaş; Kertmen Ömer; Bekler Özkan; İnci Sinan; Huyut Mustafa Ahmet; Özderya Ahmet; Er Fahri; Duran Mustafa; Ardahanlı İsa; Baş Mehmet Memduh; Güzel Tuncay; Ceyhun Gökhan; Özdemir İbrahim Halil; Özen Mehmet Burak; Gündüz Ramazan; Erdoğan Aslan; Çetin İlyas; Barış Veysel Özgür; Yayla Çağrı; Karaduman Medeni; Aşkın Lütfü; Bekar Lütfü; Tanrıverdi Okan; Özkan Eyüp; Yeşil Emrah; Çalışkan Serhat; Kuzu Zülfiye; Uğuz Berat; Böyük Ferit; Kunak Ayşegül Ülgen; Murat Selda; Asil Serkan; Kayhan Özkan; Erdoğan Emrah; Duz Ramazan; Katkat Fahrettin; Ekin Tuba; İbişoğlu Ersin; Ateş Bilge Nazar; Ayça Burak; Ergene Asım Oktay; Zoghi Mehdi,"Department of Cardiology, Health Science University, Istanbul Training and Research Hospital, Istanbul - Turquia.; Harran University, Faculty of Medicine, Department of Cardiology, Sanliurfa - Turquia.; Giresun Training and Research Hospital, Department of Cardiology, Giresun - Turquia.; Erzurum City Hospital, Department of Cardiology, Erzurum - Turkey.; Uşak University Training and Research Hospital, Department of Cardiology, Usak - Turquia.; Sanliurfa Training and Research Hospital, Department of Cardiology, Şanlıurfa - Turquia.; Samsun University, Faculty of Medicine, Department of Cardiology, Samsun - Turquia.; Harran University, Faculty of Medicine, Department of Cardiology, Sanliurfa - Turquia.; Van Training and Research Hospital, Department of Cardiology, Van - Turquia.; İnönü University Turgut Özal Tıp Merkezi Training and Research Hospital, Department of Cardiology, Malatya - Turquia.; Erzurum City Hospital, Department of Cardiology, Erzurum - Turkey.; Eskişehir City Hospital, Department of Cardiology, Eskişehir - Turquia.; Amasya University Sabuncuoğlu Şerefeddin Training and Research Hospital, Department of Cardiology, Amasya - Turquia.; Mustafa Kemal University, Faculty of Medicine, Department of Cardiology, Hatay - Turquia.; Aksaray University, Faculty of Medicine, Department of Cardiology, Aksaray - Turquia.; İstanbul Prof.Dr.Cemil Taşcıoğlu City Hospital, Department of Cardiology, İstanbul - Turquia.; Trabzon Kanuni Training and Research Hospital, Department of Cardiology, Trabzon - Turquia.; Ağrı Training and Research Hospital, Department of Cardiology, Ağrı - Turquia.; Konya City Hospital, Department of Cardiology, Konya - Turquia.; Bilcecik Şeyh Edebali University, Faculty of Medicine, Department of Cardiology, Bilecik - Turquia.; Private Meydan Hospital, Department of Cardiology, Şanlıurfa - Turquia.; Gazi Yaşargil Training and Research Hospital, Department of Cardiology, Diyarbakır - Turquia.; Atatürk University, Faculty of Medicine, Department of Cardiology, Erzurum - Turquia.; Manisa City Hospital, Department of Cardiology, Manisa - Turquia.; Manisa City Hospital, Department of Cardiology, Manisa - Turquia.; Manisa City Hospital, Department of Cardiology, Manisa - Turquia.; Başakşehir Çam ve Sakura City Hospital, Department of Cardiology, İstanbul - Turquia.; Başakşehir Çam ve Sakura City Hospital, Department of Cardiology, İstanbul - Turquia.; Gaziantep Dr. Ersin Arslan Training and Research Hospital, Department of Cardiology, Gaziantep - Turquia.; Ankara Bilkent City Hospital, Department of Cardiology,Ankara - Turquia.; Van Yüzüncü Yıl University, Faculty of Medicine, Department of Cardiology, Van - Turquia.; Gaziantep İslam Bilim ve Teknoloji University, Faculty of Medicine, Department of Cardiology, Gaziantep - Turquia.; Hitit University, Faculty of Medicine, Department of Cardiology, Çorum - Turquia.; Adıyaman University, Faculty of Medicine, Department of Cardiology, Adıyaman - Turquia.; Başakşehir Çam ve Sakura City Hospital, Department of Cardiology, İstanbul - Turquia.; Mersin University, Faculty of Medicine, Department of Cardiology, Mersin - Turquia.; Bahçelievler State Hospital, Department of Cardiology,İstanbul - Turquia.; Kayseri City Hospital, Department of Cardiology, Kayseri - Turquia.; Bursa City Hospital, Department of Cardiology, Bursa - Turquia.; Yedikule Chest Diseases and Thoracic Surgery Training and Research Hospital, Department of Cardiology, İstanbul - Turquia.; Bandırma Training and Research Hospital, Department of Cardiology, Balıkesir - Turquia.; Eskişehir Osmangazi University, Faculty of Medicine, Department of Cardiology, Eskişehir - Turquia.; Gülhane Training and Research Hospital, Department of Cardiology, Ankara - Turquia.; Kepez State Hospital, Department of Cardiology, Antalya - Turquia.; Van Yüzüncü Yıl University, Faculty of Medicine, Department of Cardiology, Van - Turquia.; Van Yüzüncü Yıl University, Faculty of Medicine, Department of Cardiology, Van - Turquia.; İstanbul Training and Research Hospital, Department of Cardiology, İstanbul - Turquia.; Kırşehir Ahi Evran University Training and Research Hospital, Department of Cardiology, Kırşehir - Turquia.; Başakşehir Çam ve Sakura City Hospital, Department of Cardiology, İstanbul - Turquia.; Ankara University, Faculty of Medicine, Department of Cardiology, Ankara - Turquia.; İstanbul Training and Research Hospital, Department of Cardiology, İstanbul - Turquia.; Dokuz Eylul University, Department of Cardiology, Izmir - Turquia.; Ege University, Department of Cardiology, Izmir - Turquia.",10.36660/abc.20240202,
PMC11699307,39758122,Acute coronary syndrome prevalence and outcomes in a Tanzanian emergency department: Results from a prospective surveillance study.,"Preliminary data suggests that the burden of acute coronary syndrome (ACS) is high in Tanzania. After efforts to improve ACS care, we sought to describe ACS diagnosis rates, care processes, and outcomes in a Tanzanian Emergency Department (ED).",African journal of emergency medicine : Revue africaine de la medecine d'urgence,2025,Afr J Emerg Med,Hertz Julian T; Sakita Francis M; Min Htike Wai Yan; Kajiru Kilonzo G; Mmbaga Blandina T; Tarimo Tumsifu G; Kweka Godfrey L; Mlangi Jerome J; Maro Amedeus V; Coaxum Lauren; Galson Sophie W; Limkakeng Alexander T; Bloomfield Gerald S,"Duke University School of Medicine, Department of Emergency Medicine, Durham, NC, USA.; Kilimanjaro Christian Medical Centre, Department of Emergency Medicine, Moshi, Tanzania.; Division of applied and natural science, Duke Kunshan University, Kunshan, China.; Kilimanjaro Christian Medical Centre, Department of Internal Medicine, Moshi, Tanzania.; Kilimanjaro Christian Research Institute, Tumaini University, Moshi, Tanzania.; Kilimanjaro Christian Medical Centre, Department of Emergency Medicine, Moshi, Tanzania.; Kilimanjaro Christian Medical Centre, Department of Emergency Medicine, Moshi, Tanzania.; Kilimanjaro Christian Medical Centre, Department of Emergency Medicine, Moshi, Tanzania.; Kilimanjaro Christian Medical Centre, Department of Emergency Medicine, Moshi, Tanzania.; Duke University School of Medicine, Department of Emergency Medicine, Durham, NC, USA.; Duke University School of Medicine, Department of Emergency Medicine, Durham, NC, USA.; Duke University School of Medicine, Department of Emergency Medicine, Durham, NC, USA.; Duke Global Health Institute, Duke University, Durham, NC, USA.",10.1016/j.afjem.2024.11.003,
PMC11754521,39674322,"Aspirin modulates generation of procoagulant phospholipids in cardiovascular disease, by regulating LPCAT3.","Enzymatically oxygenated phospholipids (eoxPL) from lipoxygenases (LOX) or cyclooxygenase (COX) are prothrombotic. Their generation in arterial disease, and their modulation by cardiovascular therapies is unknown. Furthermore, the Lands cycle acyl-transferases that catalyze their formation are unidentified. eoxPL were measured in platelets and leukocytes from an atherosclerotic cardiovascular disease (ASCVD) cohort and retrieved human arterial thrombi from three anatomical sites. The impact of age, gender, and aspirin was characterized in platelets from healthy subjects administered low-dose aspirin. The role of lysophosphatidylcholine acyltransferase 3 (LPCAT3) in eoxPL biosynthesis was tested using an inhibitor and a cell-free assay. Platelets from ASCVD patients generated lower levels of COX-derived eoxPL but elevated 12-LOX-diacyl forms, than platelets from healthy controls. This associated with aspirin and was recapitulated in healthy subjects by aspirin supplementation. P2Y12 inhibition had no impact on eoxPL. LPCAT3 inhibition selectively prevented 12-LOX-derived diacyl-eoxPL generation. LPCAT3 activity was not directly altered by aspirin. P2Y12 inhibition or aspirin had little impact on eoxPL in leukocytes. Complex aspirin-dependent gender and seasonal effects on platelet eoxPL generation were seen in healthy subjects. Limb or coronary (ST-elevation myocardial infarction, STEMI) thrombi displayed a platelet eoxPL signature while carotid thrombi had a white cell profile. EoxPL are altered in ASCVD by a commonly used cardiovascular therapy, and LPCAT3 was identified as the acyltransferase generating aspirin-sensitive 12-LOX diacyl forms. These changes to the phospholipid composition of blood cells in humans at risk of thrombosis may be clinically significant where the procoagulant membrane plays a central role in driving elevated thrombotic risk.",Journal of lipid research,2025,J Lipid Res,Protty Majd B; Tyrrell Victoria J; Hajeyah Ali A; Morgan Bethan; Costa Daniela; Li Yong; Choudhury Anirban; Mitra Rito; Bosanquet David; Reed Alex; Denisenko Iuliia K; Nagata Katsuyuki; Shindou Hideo; Cravatt Benjamin F; Poole Alastair W; Shimizu Takao; Yousef Zaheer; Collins Peter W; O'Donnell Valerie B,"Systems Immunity Research Institute, Cardiff University, Cardiff, UK. Electronic address: prottym3@cardiff.ac.uk.; Systems Immunity Research Institute, Cardiff University, Cardiff, UK.; Systems Immunity Research Institute, Cardiff University, Cardiff, UK.; Systems Immunity Research Institute, Cardiff University, Cardiff, UK.; Systems Immunity Research Institute, Cardiff University, Cardiff, UK.; Bristol Platelet Group, School of Physiology, Pharmacology & Neuroscience, University of Bristol, Bristol, UK.; Morriston Cardiac Centre, Swansea Bay University Health Board, Swansea, UK.; Department of Cardiology, University Hospital of Wales, Cardiff, UK.; Department of Vascular Surgery, Aneurin Bevan University Health Board, Cwmbran, UK.; Department of Chemistry, The Scripps Research Institute, San Diego, CA.; Systems Immunity Research Institute, Cardiff University, Cardiff, UK.; National Center for Global Health and Medicine, Tokyo, Japan.; National Center for Global Health and Medicine, Tokyo, Japan.; Department of Chemistry, The Scripps Research Institute, San Diego, CA.; Bristol Platelet Group, School of Physiology, Pharmacology & Neuroscience, University of Bristol, Bristol, UK.; National Center for Global Health and Medicine, Tokyo, Japan.; Department of Cardiology, University Hospital of Wales, Cardiff, UK.; Systems Immunity Research Institute, Cardiff University, Cardiff, UK.; Systems Immunity Research Institute, Cardiff University, Cardiff, UK. Electronic address: o-donnellvb@cardiff.ac.uk.",10.1016/j.jlr.2024.100727,
PMC11913457,40103623,Effectiveness and medication adherence in patients with ST- elevated myocardial infarction: Persian polypill study.,"Polypill or fixed-dose combination has been recognized as an effective secondary prevention strategy for patients with cardiovascular disease (CVD). This study aimed to evaluate the effectiveness of the polypill on one-year medication adherence, patient satisfaction, and lipid profile control in patients with ST-elevation myocardial infarction (STEMI).",ARYA atherosclerosis,2024,ARYA Atheroscler,Amirfar Elaheh; Shirvani Ehsan; Ghaffari Hoseini Shervin; Mansourian Marjan; Aminzadeh Shima; Jamalian Marjan; Nateghi Alireza; Amirpour Afshin; Kermani-Alghoreaishi Mohammad; Teimouri-Jervekani Zahra; Najafian Jamshid; Sanei Hamid; Khosravi-Farsani Alireza; Heshmt-Ghahdarijani Kiyan; Askari Mozhdeh; Sahebzadeh Mohammadsadegh; Sarrafzadegan Nizal; Roohafza Hamidreza; Sadeghi Masoumeh,"Isfahan Cardiovascular Research Center, Cardiovascular Research Institute, Isfahan University of Medical Sciences, Isfahan, Iran.; Interventional Cardiology Research Center, Cardiovascular Research Institute, Isfahan University of Medical Sciences, Isfahan, Iran.; Department of Physical Medicine and Rehabilitation, School of Medicine, Isfahan University of Medical Sciences, Isfahan, Iran.; Department of Biostatistics and Epidemiology, School of Health, Isfahan University of Medical Sciences, Isfahan, Iran.; Department of Biostatistics and Epidemiology, School of Health, Isfahan University of Medical Sciences, Isfahan, Iran.; Chamran Cardiovascular Medical and Research Hospital, Isfahan University of Medical Sciences, Isfahan, Iran.; Digestive Disease Research Institute, Tehran University of medical Sciences, Tehran, Iran.; Cardiac Rehabilitation Research Center, Cardiovascular Research Institute, Isfahan University of Medical Sciences, Isfahan, Iran.; Advara Heartcare, Bundaberg Base Hospital, Bundaberg, Queensland, Australia.; Cardiac Rehabilitation Research Center, Cardiovascular Research Institute, Isfahan University of Medical Sciences, Isfahan, Iran.; Isfahan Cardiovascular Research Center, Cardiovascular Research Institute, Isfahan University of Medical Sciences, Isfahan, Iran.; Isfahan Cardiovascular Research Center, Cardiovascular Research Institute, Isfahan University of Medical Sciences, Isfahan, Iran.; Hypertension Research Center, Cardiovascular Research Institute, Isfahan University of Medical Sciences, Isfahan, Iran.; Heart Failure Research Center, Cardiovascular Research Institute, Isfahan University of Medical Sciences, Isfahan, Iran.; Department of Neurology, Thomas Jefferson University, Philadelphia, PA, United States.; Cardiac Rehabilitation Research Center, Cardiovascular Research Institute, Isfahan University of Medical Sciences, Isfahan, Iran.; Isfahan Cardiovascular Research Center, Cardiovascular Research Institute, Isfahan University of Medical Sciences, Isfahan, Iran.; Isfahan Cardiovascular Research Center, Cardiovascular Research Institute, Isfahan University of Medical Sciences, Isfahan, Iran.; Cardiac Rehabilitation Research Center, Cardiovascular Research Institute, Isfahan University of Medical Sciences, Isfahan, Iran.",10.48305/arya.2025.43212.3007,
PMC11935617,39248265,Clopidogrel Versus Aspirin as Chronic Maintenance Antiplatelet Monotherapy in Patients After Percutaneous Coronary Intervention With Chronic Kidney Disease: A Post Hoc Analysis of the HOST-EXAM Trial.,"Clopidogrel monotherapy improved clinical outcomes compared with aspirin monotherapy during a chronic maintenance period in patients who underwent coronary stenting in the HOST-EXAM (Harmonizing Optimal Strategy for Treatment of Coronary Artery Stenosis-Extended Antiplatelet Monotherapy) trial. However, it is uncertain whether the beneficial effect of clopidogrel over aspirin is different according to the renal function.",Journal of the American Heart Association,2024,J Am Heart Assoc,Kang Jeehoon; Park Sang-Hyeon; Park Kyung Woo; Koo Bon-Kwon; Lee Huijin; Han Minju; Hwang Doyeon; Yang Han-Mo; Chae In-Ho; Shin Won-Yong; Oh Ju Hyeon; Kim Yong Hoon; Park Tae-Ho; Kim Bum Soo; Han Jung-Kyu; Shin Eun-Seok; Kim Hyo-Soo,"Department of Internal Medicine, Cardiovascular Center Seoul National University Hospital Seoul South Korea.; Department of Internal Medicine, Cardiovascular Center Seoul National University Hospital Seoul South Korea.; Department of Internal Medicine, Cardiovascular Center Seoul National University Hospital Seoul South Korea.; Department of Internal Medicine, Cardiovascular Center Seoul National University Hospital Seoul South Korea.; Department of Internal Medicine, Cardiovascular Center Seoul National University Hospital Seoul South Korea.; Department of Internal Medicine, Cardiovascular Center Seoul National University Hospital Seoul South Korea.; Department of Internal Medicine, Cardiovascular Center Seoul National University Hospital Seoul South Korea.; Department of Internal Medicine, Cardiovascular Center Seoul National University Hospital Seoul South Korea.; Department of Internal Medicine Seoul National University Bundang Hospital Seongnam South Korea.; Department of Internal Medicine Soonchunhyang University Cheonan Hospital Cheonan South Korea.; Department of Cardiology, Samsung Changwon Hospital Sungkyunkwan University School of Medicine Changwon South Korea.; Department of Internal Medicine Kangwon National University School of Medicine Chuncheon South Korea.; Department of Internal Medicine Dong-A University Hospital Busan South Korea.; Department of Internal Medicine, Kangbuk Samsung Hospital Sungkyunkwan University Seoul South Korea.; Department of Internal Medicine, Cardiovascular Center Seoul National University Hospital Seoul South Korea.; Department of Internal Medicine Ulsan University Hospital Ulsan South Korea.; Department of Internal Medicine, Cardiovascular Center Seoul National University Hospital Seoul South Korea.",10.1161/JAHA.124.035269,
PMC11955879,40164448,"Stepwise dual antiplatelet therapy de-escalation in patients after drug coated balloon angioplasty (REC-CAGEFREE II): multicentre, randomised, open label, assessor blind, non-inferiority trial.",To investigate whether a less intense antiplatelet regimen could be used for people receiving drug coated balloons.,BMJ (Clinical research ed.),2025,BMJ,Gao Chao; Zhu Bin; Ouyang Fan; Wen Shangyu; Xu Yanmin; Jia Wenxia; Yang Ping; He Yuquan; Zhong Yiming; Zhou Yimeng; Guo Zhifu; Shen Guidong; Ma Likun; Xu Liang; Xue Yuzeng; Hu Tao; Wang Qiong; Liu Yi; Zhang Ruining; Liu Jianzheng; Jiang Zhiwei; Xia Jielai; Garg Scot; van Geuns Robert-Jan; Capodanno Davide; Onuma Yoshinobu; Wang Duolao; Serruys Patrick; Tao Ling,"Department of Cardiology, Xijing Hospital, Xi'an, China.; Department of Cardiology, Xijing Hospital, Xi'an, China.; Department of Cardiology, Zhuzhou Central Hospital, Zhuzhou, China.; Department of Cardiology, Tianjin Fourth Central Hospital, Tianjin, China.; Department of Cardiology, Second Hospital of Tianjin Medical University, Tianjin, China.; Department of Cardiology, People's Hospital of Qingyang, Qingyang, China.; Department of Cardiology, China-Japan Union Hospital of Jilin University, Changchun, China.; Department of Cardiology, China-Japan Union Hospital of Jilin University, Changchun, China.; Department of Cardiology, First Affiliated Hospital of Gannan Medical University, Ganzhou, China.; Department of Cardiology, Yangpu Hospital of Tongji University, Shanghai, China.; Department of Cardiology, First Affiliated Hospital of Naval Medical University, Shanghai, China.; Department of Cardiology, Ankang Central Hospital, Ankang, China.; Department of Cardiology, First Affiliated Hospital of USTC, Hefei, China.; Department of Cardiology, Seventh People's Hospital of Zhengzhou, Zhengzhou, China.; Department of Cardiology, Liaocheng People's Hospital, Liaocheng, China.; Department of Cardiology, Xijing Hospital, Xi'an, China.; Department of Cardiology, Xijing Hospital, Xi'an, China.; Department of Cardiology, Xijing Hospital, Xi'an, China.; Department of Cardiology, Xijing Hospital, Xi'an, China.; Department of Cardiology, Xijing Hospital, Xi'an, China.; Beijing KeyTech Statistical Consulting Co, Beijing, China.; Department of Statistics, Air Force Medical University, Xi'an, China.; Department of Cardiology, Royal Blackburn Hospital, Blackburn, UK.; Department of Cardiology, Radboud UMC, Nijmegen, the Netherlands.; Department of Cardiology, Azienda Ospedaliero-Universitaria Policlinico 'G Rodolico-San Marco', University of Catania, Catania, Italy.; Department of Cardiology, University of Galway, Galway, Ireland.; Biostatistics Unit, Liverpool School of Tropical Medicine, Liverpool, UK.; Department of Cardiology, University of Galway, Galway, Ireland.; Department of Cardiology, Xijing Hospital, Xi'an, China lingtaofmmu@qq.com.",10.1136/bmj-2024-082945,
