PMID,Title,Abstract,Journal,PubDate,Source,Authors,School/Company,DOI,PMCID,Impact Factor
23067921,Antithrombotic therapy for atrial fibrillation and coronary artery disease in older patients.,"Older patients with atrial fibrillation (AF) and coronary artery disease (CAD) face high risk of stroke and bleeding with antithrombotic therapy. Balancing safe and effective use of aspirin, clopidogrel, and warfarin in this population is important.",American heart journal,2012,Am Heart J,Hess Connie N; Broderick Samuel; Piccini Jonathan P; Alexander Karen P; Newby L Kristin; Shaw Linda K; Mahaffey Kenneth W; Alexander John H; Peterson Eric D; Granger Christopher B; Lopes Renato D,"Duke Clinical Research Institute, Durham, NC 27705, USA.",10.1016/j.ahj.2012.07.004,PMC3777661,
17090818,Early revascularization and ACC/AHA guideline-compliant medical management improve left ventricular function and short-term prognosis in patients presenting with acute myocardial infarction and severe left ventricular dysfunction.,Myocardial infarction (MI) complicated by severe left ventricular (LV) dysfunction is associated with significant morbidity and mortality. The natural history of this population with contemporary revascularization and guideline-based medical therapies is poorly defined. We sought to determine the impact of contemporary treatment strategies on LV function and prognosis in patients with MI and severe LV dysfunction.,The Journal of invasive cardiology,2006,J Invasive Cardiol,Young John J; Chung Eugene S; Menon Santosh G; Chow Theodore; Mital Anubhav; Pastore Joseph; Kereiakes Dean J,"The Ohio Heart & Vascular Center, The Lindner Center for Research & Education at The Christ Hospital, Cincinnati, Ohio, USA. johnj.young@swedish.org",,,
15891266,Antibiotics and risk of first-time hospitalization for myocardial infarction: a population-based case-control study.,"There is increasing evidence that inflammation plays an important role in atherosclerosis. Such inflammation is likely related to the presence of infectious organisms. Hence, we examined whether the use of antibiotic drugs decreases the risk of first-time myocardial infarction (MI). We identified 6737 cases of first-time hospitalization for MI, and 67,364 age- and gender-matched, population-based controls during 1991-2002, using data from the County Hospital Discharge Registry and the Civil Registration System of North Jutland County, Denmark. All prescriptions for antibiotics prior to the hospitalization for MI were identified through a prescription database. Conditional logistic regression was used to estimate odds ratios (OR) associated with antibiotic use, adjusted for potential confounding factors including previous discharge diagnoses of hypertension, chronic bronchitis and emphysema, alcoholism, liver cirrhosis, or diabetes mellitus and prescriptions for anti-hypertensive drugs, antidiabetic drugs, lipid-lowering agents, high-dose aspirin, platelet inhibitors, oral anticoagulants, or hormone replacement therapy. The use of any one type of antibiotic in the 3 years before hospitalization was not associated with a decreased risk of MI; the adjusted ORs with corresponding 95% confidence intervals were 1.07, 1.00-1.14 for penicillins; 1.15, 1.00-1.33 for macrolides; 0.95, 0.65-1.39 for tetracyclines; 1.25, 0.84-1.87 for quinolones; and 0.95, 0.80-1.12 for sulfonamides. A slight increase in the risk of MI was seen with the use of more than one type of antibiotic in the preceding 3 years (OR = 1.17, 95% CI = 1.09-1.27). Our findings do not support the hypothesis that the use of antibiotics is associated with a lower risk of first-time MI.",American journal of therapeutics,2005,Am J Ther,Monster Taco B M; Johnsen Søren P; Olsen Mette L; Ostergaard Lars; Friis Søren; McLaughlin Joseph K; Sørensen Henrik T,"Department of Clinical Epidemiology, Aarhus University Hospital, Aarhus and Aalborg, Denmark. t.monster@home.nl",,,
15085944,The need for pharmaceutical care in the prevention of coronary heart disease: an exploratory study in acute myocardial infarction patients.,To determine guideline-related pharmaceutical care issues for the prevention of coronary heart disease in hospitalised patients admitted for myocardial infarction (MI).,Pharmacy world & science : PWS,2004,Pharm World Sci,Chinwong Surarong; Reid Fiona; McGlynn Steve; Hudson Steve; Flapan Andy,"Pharmaceutical Care Health Service Unit, Department of Pharmaceutical Sciences, University of Strathclyde, Strathclyde Institute for Biomedical Sciences, 27 Taylor Street, Glasgow G4 0NR, UK. surarong@pharmacy.cmu.ac.th",10.1023/b:phar.0000018599.47002.e7,,
12947210,Improved in-hospital outcomes in acute coronary syndromes (unstable angina/non-ST segment elevation myocardial infarction) despite similar TIMI risk scores.,"The Thrombolysis In Myocardial Infarction (TIMI) Risk Score has been shown to predict prognosis in acute coronary syndromes (ACS) comprised of unstable angina (UA) and non-ST segment elevation myocardial infarction (STEMI). We sought to evaluate the impact of newer antiplatelet and antithrombotic therapies for ACS, such as glycoprotein IIb/IIIa inhibitors (GPI) and low molecular weight heparin (LMWH), on in-hospital outcomes over time in patients (pts) with similar TIMI risk scores.",The Journal of invasive cardiology,2003,J Invasive Cardiol,Almeda Francis Q; Hendel Robert C; Nathan Sandeep; Meyer Peter M; Calvin James E; Klein Lloyd W,"Rush-Presbyterian-St. Luke's Medical Center, Rush Heart Institute, Chicago, IL, USA.",,,
12236854,Use of nonsteroidal anti-inflammatory drugs and the risk of first-time acute myocardial infarction.,"Aspirin decreases the risk of clinical manifestations of atherothrombosis. This effect is mainly due to inhibition of platelet aggregation and potentially due to anti-inflammatory properties of aspirin. To evaluate whether use of non-aspirin non-steroidal anti-inflammatory drugs (NSAIDs) may also be associated with a decreased risk of first-time acute myocardial infarction (AMI), we performed a population-based case-control analysis using the United Kingdom-based General Practice Research Database (GPRD) METHODS: We identified first-time AMI-patients free of preexisting diagnosed cardiovascular or metabolic diseases. We compared use of NSAIDs prior to the index date between cases and control patients who were matched to cases on age, gender, practice and calendar time.",British journal of clinical pharmacology,2002,Br J Clin Pharmacol,Schlienger Raymond G; Jick Hershel; Meier Christoph R,"Basel Pharmacoepidemiology Unit, Division of Clinical Pharmacology and Toxicology, University Hospital, Basel, Switzerland.",10.1046/j.1365-2125.2002.01637.x,PMC1874430,
11792137,An integrated clinical approach to predicting the benefit of tirofiban in non-ST elevation acute coronary syndromes. Application of the TIMI Risk Score for UA/NSTEMI in PRISM-PLUS.,We evaluated the TIMI Risk Score for Unstable Angina and Non-ST Elevation Myocardial Infarction for predicting clinical outcomes and the efficacy of tirofiban in non-ST elevation acute coronary syndromes.,European heart journal,2002,Eur Heart J,Morrow D A; Antman E M; Snapinn S M; McCabe C H; Theroux P; Braunwald E,"Department of Medicine, Brigham and Women's Hospital, Boston, MA 02115, USA.",10.1053/euhj.2001.2738,,
11524055,A risk score system for predicting adverse outcomes and magnitude of benefit with glycoprotein IIb/IIIa inhibitor therapy in patients with unstable angina pectoris.,"Clinical outcomes of patients with unstable angina are variable. We sought to identify predictors of adverse clinical outcomes in patients with unstable angina and to investigate whether these factors would predict the magnitude of benefit achieved with platelet glycoprotein IIb/IIIa inhibition. We analyzed 20 variables in the 1,915 patients enrolled in the Platelet Receptor Inhibition for Ischemic Syndrome Management in Patients Limited by Unstable Signs and Symptoms trial. Five independent predictors were identified: age >65 years, prior coronary artery bypass grafting, antecedent aspirin use, antecedent beta-blocker use, and ST depressions on the presenting electrocardiogram. A risk score system was created using these predictors in which patients were assigned 1 point for the presence of each risk factor. There was a progressive increase in the rate of the composite end point of death, myocardial infarction, or refractory ischemia at 7 days with an increasing number of risk factors. For patients treated with heparin alone, the composite end point event rate was 6.5% in the group with 0 or 1 predictor, 14.6% in the group with 2 predictors, 22.7% in the group with 3 predictors, and 37.1% in the group with 4 or 5 predictors (p <0.00001). When dividing patients into low- (0 or 1 point), medium- (2 or 3 points), and high-risk (4 or 5 points) groups, the addition of tirofiban to heparin therapy was associated with no significant benefit in the low-risk group, a 5.2% absolute reduction in the medium-risk group (p = 0.05), and a 16% absolute reduction in the high-risk group (p = 0.0055). Thus, we have developed a risk score system using 5 variables that can be used to identify patients at high risk for death and cardiac ischemic events and who experience the greatest benefit from the addition of a glycoprotein IIb/IIIa inhibitor to their treatment regimen.",The American journal of cardiology,2001,Am J Cardiol,Sabatine M S; Januzzi J L; Snapinn S; Théroux P; Jang I K,"Division of Cardiology, Massachusetts General Hospital and Harvard Medical School, Boston, Massachusetts 02114, USA.",10.1016/s0002-9149(01)01724-6,,
10952835,Inter-regional differences and outcome in unstable angina; analysis of the international ESSENCE trial. Efficacy and Safety of Subcutaneous Enoxaparin in Non-Q-wave Coronary Events.,"Worldwide there is a large variation in outcome (death, myocardial infarction and recurrent myocardial infarction) in patients with unstable angina or non-Q wave myocardial infarction. These variations may be explained by differences in characteristics of the presenting patients. Here we describe differences in patient presentation, treatment protocols and outcome and we investigate their relationship using data from the ESSENCE (Efficacy and Safety of Subcutaneous Enoxaparin in Non-Q-wave Coronary Events) trial.",European heart journal,2000,Eur Heart J,Fox K A; Goodman S; Bigonzi F; Le Louer V; Cohen M,"Department of Cardiology, The Royal Infirmary, Edinburgh, U.K.",10.1053/euhj.1999.1983,,
10027664,Patterns of practice for acute myocardial infarction in a population from ten countries.,"There is conclusive evidence from large scale randomized clinical trials (RCTs) that several treatments administered in the acute phase of a myocardial infarction (AMI) reduce mortality. However, only a minority of patients admitted with AMI receives at the appropriate treatments.",European journal of clinical pharmacology,1999,Eur J Clin Pharmacol,Venturini F; Romero M; Tognoni G,"Centro Studi SIFO (Italian Society of Hospital Pharmacy), Maria Imbaro (Chieti), Italy. venturini@cmns.mnegri.it",10.1007/s002280050570,,
9973029,Fatal cardiac rupture among patients treated with thrombolytic agents and adjunctive thrombin antagonists: observations from the Thrombolysis and Thrombin Inhibition in Myocardial Infarction 9 Study.,"The purpose of this study was to determine the incidence and demographic characteristics of patients experiencing cardiac rupture after thrombolytic and adjunctive anticoagulant therapy and to identify possible associations between the mechanism of thrombin inhibition (indirect, direct) and the intensity of systemic anticoagulation with its occurrence. BACKGROUND Cardiac rupture is responsible for nearly 15% of all in-hospital deaths among patients with myocardial infarction (MI) given thrombolytic agents. Little is known about specific patient- and treatment-related risk factors. METHODS Patients (n = 3,759) with MI participating in the Thrombolysis and Thrombin Inhibition in Myocardial Infarction 9A and B trials received intravenous thrombolytic therapy, aspirin and either heparin (5,000 U bolus, 1,000 to 1,300 U/h infusion) or hirudin (0.1 to 0.6 mg/kg bolus, 0.1 to 0.2 mg/kg/h infusion) for at least 96 h. A diagnosis of cardiac rupture was made clinically in patients with sudden electromechanical dissociation in the absence of preceding congestive heart failure, slowly progressive hemodynamic compromise or malignant ventricular arrhythmias. RESULTS A total of 65 rupture events (1.7%) were reported-all were fatal, and a majority occurred within 48 h of treatment Patients with cardiac rupture were older, of lower body weight and stature and more likely to be female than those without rupture (all p < 0.001). By multivariable analysis, age >70 years (odds ratio [OR] 3.77; 95% confidence interval [CI] 2.06, 6.91), female gender (OR 2.87; 95% CI 1.44, 5.73) and prior angina (OR 1.82; 95% CI 1.05, 3.16) were independently associated with cardiac rupture. Independent predictors of nonrupture death included age >70 years (OR 3.68; 95% CI 2.53, 5.35) and prior MI (OR 2.14; 95%, CI 1.45, 3.17). There was no association between the type of thrombin inhibition, the intensity of anticoagulation and cardiac rapture. CONCLUSIONS Cardiac rupture following thrombolytic therapy tends to occur in older patients and may explain the disproportionately high mortality rate among women in prior dinical trials. Unlike major hemorrhagic complications, there is no evidence that the intensity of anticoagulation associated with heparin or hirudin administration influences the occurrence of rupture.",Journal of the American College of Cardiology,1999,J Am Coll Cardiol,Becker R C; Hochman J S; Cannon C P; Spencer F A; Ball S P; Rizzo M J; Antman E M,"Cardiovascular Thrombosis Research Center, University of Massachusetts Medical School, Worcester 01655-0214, USA. Becker@Banyan.Ummed.edu",10.1016/s0735-1097(98)00582-8,,
7794087,Does aspirin consumption affect the presentation or severity of acute myocardial infarction?,"While consumption of aspirin has been shown to decrease the occurrence of nonfatal cardiac events, the majority of studies have not demonstrated any impact of aspirin intake on cardiovascular mortality. The present population-based study explores the possibility that aspirin consumption affects the presentation and severity of acute myocardial infarction (AMI), and hence the likelihood of clinical detection.",Archives of internal medicine,1995,Arch Intern Med,Col N F; Yarzbski J; Gore J M; Alpert J S; Goldberg R J,"Department of Family and Community Medicine, University of Massachusetts Medical School, Worcester, USA.",,,
8026055,Impact of age on clinical outcome and postlytic management strategies in patients treated with intravenous thrombolytic therapy. Results from the TIMI II Study. TIMI II Investigators.,Few thrombolytic studies have assessed whether patient age is an indication for routine postlytic cardiac catheterization and revascularization or evaluated the impact of age on 1-year outcome differences after acute myocardial infarction.,Circulation,1994,Circulation,Aguirre F V; McMahon R P; Mueller H; Kleiman N S; Kern M J; Desvigne-Nickens P; Hamilton W P; Chaitman B R,"St Louis University Hospital, St Louis University Health Sciences Center, MO 63110.",10.1161/01.cir.90.1.78,,
8309503,Anticoagulation for atrial fibrillation and stroke prevention.,"Nonvalvular atrial fibrillation (NVAF) has a prevalence of about 1% in the 60- to 70-year age group, increasing to above 4% in persons older than 80 years. The yearly stroke incidence in NVAF patients is 3-8%, which is 5-7 times higher than that in age-matched persons in sinus rhythm. In five independent studies of stroke prevention in NVAF patients, anticoagulation therapy resulted in a risk reduction of stroke of about 65%. The risk of intracerebral hemorrhage was 0.3% per year during warfarin therapy compared with 0.1% in the placebo group. In one study aspirin reduced the risk of thromboembolic events by 42% while another study found a nonsignificant effect of aspirin. The following variables were identified as risk factors for stroke in the individual studies: prior myocardial infarction, increasing age, mitral annular calcification, history of hypertension, congestive heart failure and previous arterial thromboembolism. A pooled analysis of risk factors in the placebo-treated patients of the five studies is ongoing.",Neuroepidemiology,1993,Neuroepidemiology,Boysen G,"Department of Neurology, Hvidovre Hospital, University of Copenhagen, Denmark.",10.1159/000110329,,
